name,slug,birth_rate,region
Niger,niger,6.73,Africa
Angola,angola,5.76,Africa
Democratic Republic of Congo,congo-democratic-republic-of-the,5.56,Africa
Mali,mali,5.45,Africa
Benin,benin,5.39,Africa
Chad,chad,5.35,Africa
Uganda,uganda,5.26,Africa
Somalia,somalia,5.22,Africa
South Sudan,south-sudan,5.2,Africa
Burundi,burundi,4.96,Africa
Guinea,guinea,4.82,Africa
Mozambique,mozambique,4.74,Africa
Liberia,liberia,4.73,Africa
Guinea-Bissau,guinea-bissau,4.65,Africa
Nigeria,nigeria,4.57,Africa
Sudan,sudan,4.54,Africa
Afghanistan,afghanistan,4.53,South Asia
Cameroon,cameroon,4.5,Africa
Zambia,zambia,4.49,Africa
Tanzania,tanzania,4.33,Africa
Equatorial Guinea,equatorial-guinea,4.19,Africa
Togo,togo,4.18,Africa
Senegal,senegal,4.17,Africa
Burkina Faso,burkina-faso,4.14,Africa
Timor-Leste,timor-leste,4.09,East and Southeast Asia
Central African Republic,central-african-republic,3.99,Africa
Ethiopia,ethiopia,3.92,Africa
Zimbabwe,zimbabwe,3.88,Africa
Papua New Guinea,papua-new-guinea,3.85,East and Southeast Asia
Sierra Leone,sierra-leone,3.71,Africa
Gambia,gambia-the,3.66,Africa
Ghana,ghana,3.61,Africa
Madagascar,madagascar,3.55,Africa
Eritrea,eritrea,3.5,Africa
Cote d'Ivoire,cote-divoire,3.47,Africa
Mauritania,mauritania,3.46,Africa
Sao Tome and Principe,sao-tome-and-principe,3.44,Africa
Pakistan,pakistan,3.39,South Asia
Gaza Strip,gaza-strip,3.34,Middle East
Malawi,malawi,3.3,Africa
Gabon,gabon,3.26,Africa
Rwanda,rwanda,3.23,Africa
Kenya,kenya,3.23,Africa
Iraq,iraq,3.17,Middle East
Libya,libya,3.04,Africa
Namibia,namibia,2.94,Africa
West Bank,west-bank,2.91,Middle East
Jordan,jordan,2.91,Middle East
Yemen,yemen,2.91,Middle East
Lesotho,lesotho,2.88,Africa
Solomon Islands,solomon-islands,2.82,Australia and Oceania
Tuvalu,tuvalu,2.81,Australia and Oceania
Philippines,philippines,2.77,East and Southeast Asia
Egypt,egypt,2.76,Africa
Guam,guam,2.76,Australia and Oceania
Syria,syria,2.74,Middle East
Marshall Islands,marshall-islands,2.72,Australia and Oceania
Tonga,tonga,2.7,Australia and Oceania
Comoros,comoros,2.69,Africa
Oman,oman,2.67,Middle East
Vanuatu,vanuatu,2.59,Australia and Oceania
Northern Mariana Islands,northern-mariana-islands,2.59,Australia and Oceania
Belize,belize,2.59,Central America and the Caribbean
Nauru,nauru,2.58,Australia and Oceania
Guatemala,guatemala,2.57,Central America and the Caribbean
Israel,israel,2.54,Middle East
Algeria,algeria,2.47,Africa
Kyrgyzstan,kyrgyzstan,2.47,Central Asia
Tajikistan,tajikistan,2.42,Central Asia
Eswatini,eswatini,2.41,Africa
Haiti,haiti,2.39,Central America and the Caribbean
Panama,panama,2.37,Central America and the Caribbean
Botswana,botswana,2.37,Africa
Samoa,samoa,2.37,Australia and Oceania
Laos,laos,2.3,East and Southeast Asia
Faroe Islands,faroe-islands,2.28,Europe
Morocco,morocco,2.27,Africa
Bolivia,bolivia,2.26,South America
Fiji,fiji,2.23,Australia and Oceania
Micronesia,micronesia-federated-states-of,2.22,Australia and Oceania
Kuwait,kuwait,2.22,Middle East
Venezuela,venezuela,2.2,South America
Cambodia,cambodia,2.2,East and Southeast Asia
Dominican Republic,dominican-republic,2.2,Central America and the Caribbean
