Year,Sex,age_group,percentage
2020,M,0.4,1.8
2020,F,0.4,1.7
2020,M,5.9,2.2
2020,F,5.9,2.1
2020,M,10.14,2.2
2020,F,10.14,2.1
2020,M,15.19,2.5
2020,F,15.19,2.3
2020,M,20.24,3.4
2020,F,20.24,3.1
2020,M,25.29,3.7
2020,F,25.29,3.3
2020,M,30.34,3.4
2020,F,30.34,3
2020,M,35.39,3.9
2020,F,35.39,3.6
2020,M,40.44,3.8
2020,F,40.44,3.7
2020,M,45.49,4.3
2020,F,45.49,4.1
2020,M,50.54,4.2
2020,F,50.54,4.2
2020,M,55.59,4.1
2020,F,55.59,4.1
2020,M,60.64,3.6
2020,F,60.64,3.7
2020,M,65.69,2.5
2020,F,65.69,2.7
2020,M,70.74,1.8
2020,F,70.74,2
2020,M,75.79,1.3
2020,F,75.79,1.8
2020,M,80.84,0.8
2020,F,80.84,1.3
2020,M,85.89,0.3
2020,F,85.89,0.8
2020,M,90.94,0.1
2020,F,90.94,0.3
2020,M,95.99,0
2020,F,95.99,0.1
2020,M,100,0
2020,F,100,0
