Year,Sex,age_group,percentage
1990,M,0.4,4.1
1990,F,0.4,3.7
2020,M,0.4,1.8
2020,F,0.4,1.7
2030,M,0.4,1.5
2030,F,0.4,1.4
2050,M,0.4,1.3
2050,F,0.4,1.3
1990,M,5.9,4.7
1990,F,5.9,4.4
2020,M,5.9,2.2
2020,F,5.9,2.1
2030,M,5.9,1.5
2030,F,5.9,1.4
2050,M,5.9,1.4
2050,F,5.9,1.3
1990,M,10.14,4.7
1990,F,10.14,4.5
2020,M,10.14,2.2
2020,F,10.14,2.1
2030,M,10.14,1.8
2030,F,10.14,1.7
2050,M,10.14,1.5
2050,F,10.14,1.4
1990,M,15.19,5.3
1990,F,15.19,5.1
2020,M,15.19,2.5
2020,F,15.19,2.3
2030,M,15.19,2.3
2030,F,15.19,2.2
2050,M,15.19,1.7
2050,F,15.19,1.6
1990,M,20.24,5.3
1990,F,20.24,4.9
2020,M,20.24,3.4
2020,F,20.24,3.1
2030,M,20.24,2.3
2030,F,20.24,2.2
2050,M,20.24,1.7
2050,F,20.24,1.6
1990,M,25.29,5.1
1990,F,25.29,5.1
2020,M,25.29,3.7
2020,F,25.29,3.3
2030,M,25.29,2.6
2030,F,25.29,2.4
2050,M,25.29,1.7
2050,F,25.29,1.6
1990,M,30.34,4.9
1990,F,30.34,4.7
2020,M,30.34,3.4
2020,F,30.34,3
2030,M,30.34,3.5
2030,F,30.34,3.2
2050,M,30.34,2.1
2050,F,30.34,2
1990,M,35.39,3.7
1990,F,35.39,3.5
2020,M,35.39,3.9
2020,F,35.39,3.6
2030,M,35.39,3.8
2030,F,35.39,3.3
2050,M,35.39,2.6
2050,F,35.39,2.5
1990,M,40.44,3
1990,F,40.44,2.8
2020,M,40.44,3.8
2020,F,40.44,3.7
2030,M,40.44,3.4
2030,F,40.44,3.1
2050,M,40.44,2.7
2050,F,40.44,2.5
1990,M,45.49,2.5
1990,F,45.49,2.5
2020,M,45.49,4.3
2020,F,45.49,4.1
2030,M,45.49,3.9
2030,F,45.49,3.6
2050,M,45.49,3
2050,F,45.49,2.8
1990,M,50.54,2.3
1990,F,50.54,2.3
2020,M,50.54,4.2
2020,F,50.54,4.2
2030,M,50.54,3.8
2030,F,50.54,3.7
2050,M,50.54,3.9
2050,F,50.54,3.6
1990,M,55.59,1.7
1990,F,55.59,1.9
2020,M,55.59,4.1
2020,F,55.59,4.1
2030,M,55.59,4.2
2030,F,55.59,4.1
2050,M,55.59,4.2
2050,F,55.59,3.7
1990,M,60.64,1.1
1990,F,60.64,1.5
2020,M,60.64,3.6
2020,F,60.64,3.7
2030,M,60.64,4.1
2030,F,60.64,4.2
2050,M,60.64,3.6
2050,F,60.64,3.4
1990,M,65.69,0.9
1990,F,65.69,1.2
2020,M,65.69,2.5
2020,F,65.69,2.7
2030,M,65.69,3.8
2030,F,65.69,4
2050,M,65.69,4
2050,F,65.69,4
1990,M,70.74,0.5
1990,F,70.74,0.8
2020,M,70.74,1.8
2020,F,70.74,2
2030,M,70.74,3.2
2030,F,70.74,3.6
2050,M,70.74,3.7
2050,F,70.74,3.9
1990,M,75.79,0.3
1990,F,75.79,0.6
2020,M,75.79,1.3
2020,F,75.79,1.8
2030,M,75.79,2
2030,F,75.79,2.4
2050,M,75.79,3.7
2050,F,75.79,4.2
1990,M,80.84,0.1
1990,F,80.84,0.3
2020,M,80.84,0.8
2020,F,80.84,1.3
2030,M,80.84,1.2
2030,F,80.84,1.7
2050,M,80.84,3
2050,F,80.84,3.8
1990,M,85.89,0
1990,F,85.89,0.1
2020,M,85.89,0.3
2020,F,85.89,0.8
2030,M,85.89,0.7
2030,F,85.89,1.2
2050,M,85.89,2
2050,F,85.89,3.1
1990,M,90.94,0
1990,F,90.94,0
2020,M,90.94,0.1
2020,F,90.94,0.3
2030,M,90.94,0.2
2030,F,90.94,0.7
2050,M,90.94,0.9
2050,F,90.94,2
1990,M,95.99,0
1990,F,95.99,0
2020,M,95.99,0
2020,F,95.99,0.1
2030,M,95.99,0
2030,F,95.99,0.2
2050,M,95.99,0.2
2050,F,95.99,0.7
