Age,Sex,Population,Percentage,Year
0-4,M,1706435,8.49,1950
5-9,M,1454353,7.23,1950
10-14,M,1401978,6.97,1950
15-19,M,910188,4.53,1950
20-24,M,700437,3.48,1950
25-29,M,751072,3.74,1950
30-34,M,654401,3.26,1950
35-39,M,602633,3,1950
40-44,M,575420,2.86,1950
45-49,M,400202,1.99,1950
50-54,M,365221,1.82,1950
55-59,M,281170,1.4,1950
60-64,M,215797,1.07,1950
65-69,M,121630,0.61,1950
70-74,M,66145,0.33,1950
75-79,M,23585,0.12,1950
80-84,M,19137,0.1,1950
85-89,M,4959,0.02,1950
90-94,M,1058,0.01,1950
95-99,M,357,0,1950
100+,M,57,0,1950
0-4,F,1540657,7.66,1950
5-9,F,1327965,6.61,1950
10-14,F,1198524,5.96,1950
15-19,F,974101,4.85,1950
20-24,F,831286,4.13,1950
25-29,F,737221,3.67,1950
30-34,F,608151,3.03,1950
35-39,F,550099,2.74,1950
40-44,F,479860,2.39,1950
45-49,F,371336,1.85,1950
50-54,F,356928,1.78,1950
55-59,F,306486,1.52,1950
60-64,F,250549,1.25,1950
65-69,F,147410,0.73,1950
70-74,F,88763,0.44,1950
75-79,F,34558,0.17,1950
80-84,F,31190,0.16,1950
85-89,F,9549,0.05,1950
90-94,F,2262,0.01,1950
95-99,F,725,0,1950
100+,F,145,0,1950
0-4,M,2362378,9.15,1960
5-9,M,1731568,6.71,1960
10-14,M,1488453,5.77,1960
15-19,M,1392491,5.39,1960
20-24,M,1355828,5.25,1960
25-29,M,868954,3.37,1960
30-34,M,645058,2.5,1960
35-39,M,669279,2.59,1960
40-44,M,571374,2.21,1960
45-49,M,503161,1.95,1960
50-54,M,455698,1.77,1960
55-59,M,298961,1.16,1960
60-64,M,249385,0.97,1960
65-69,M,169551,0.66,1960
70-74,M,107305,0.42,1960
75-79,M,42534,0.16,1960
80-84,M,11816,0.05,1960
85-89,M,1704,0.01,1960
90-94,M,507,0,1960
95-99,M,114,0,1960
100+,M,31,0,1960
0-4,F,2243207,8.69,1960
5-9,F,1654199,6.41,1960
10-14,F,1340252,5.19,1960
15-19,F,1272209,4.93,1960
20-24,F,1175015,4.55,1960
25-29,F,967008,3.75,1960
30-34,F,826083,3.2,1960
35-39,F,724132,2.8,1960
40-44,F,586206,2.27,1960
45-49,F,515138,2,1960
50-54,F,436859,1.69,1960
55-59,F,329331,1.28,1960
60-64,F,302254,1.17,1960
65-69,F,241700,0.94,1960
70-74,F,173028,0.67,1960
75-79,F,75650,0.29,1960
80-84,F,24578,0.1,1960
85-89,F,3599,0.01,1960
90-94,F,801,0,1960
95-99,F,99,0,1960
100+,F,19,0,1960
0-4,M,2355837,7.23,1970
5-9,M,2466089,7.56,1970
10-14,M,2299694,7.05,1970
15-19,M,1691087,5.19,1970
20-24,M,1361142,4.18,1970
25-29,M,1232331,3.78,1970
30-34,M,1139394,3.49,1970
35-39,M,888267,2.72,1970
40-44,M,675428,2.07,1970
45-49,M,627371,1.92,1970
50-54,M,501259,1.54,1970
55-59,M,411347,1.26,1970
60-64,M,318178,0.98,1970
65-69,M,195099,0.6,1970
70-74,M,130615,0.4,1970
75-79,M,69075,0.21,1970
80-84,M,29480,0.09,1970
85-89,M,6060,0.02,1970
90-94,M,678,0,1970
95-99,M,9,0,1970
100+,M,0,0,1970
0-4,F,2234232,6.85,1970
5-9,F,2304951,7.07,1970
10-14,F,2145022,6.58,1970
15-19,F,1597561,4.9,1970
20-24,F,1265280,3.88,1970
25-29,F,1144495,3.51,1970
30-34,F,1101499,3.38,1970
35-39,F,931012,2.86,1970
40-44,F,772839,2.37,1970
45-49,F,655684,2.01,1970
50-54,F,521373,1.6,1970
55-59,F,452016,1.39,1970
60-64,F,375060,1.15,1970
65-69,F,270639,0.83,1970
70-74,F,209815,0.64,1970
75-79,F,131644,0.4,1970
80-84,F,68482,0.21,1970
85-89,F,17538,0.05,1970
90-94,F,3395,0.01,1970
95-99,F,153,0,1970
100+,F,1,0,1970
0-4,M,2056614,5.39,1980
5-9,M,2340407,6.13,1980
10-14,M,2316279,6.07,1980
15-19,M,2250729,5.9,1980
20-24,M,2128007,5.58,1980
25-29,M,1573248,4.12,1980
30-34,M,1309622,3.43,1980
35-39,M,1154842,3.03,1980
40-44,M,1096751,2.87,1980
45-49,M,856143,2.24,1980
50-54,M,611500,1.6,1980
